,track_played_at,track_id,track_name,track_duration_min,track_popularity,primary_artist,primary_artist_id,album_id,album_name,album_release_year,primary_genre,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,popularity,followers
0,2021-09-06 05:06:47.670,2gbMPBrBVj3CuNTLp2dHYs,Off The Grid,5.65,87,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,340MjPcVdiQRnMigrPybZA,Donda,2021-08-29,chicago rap,0.546,0.64,8,-5.582,1,0.37,0.0438,0.0,0.137,0.63,137.728,98,14974046
1,2021-09-06 04:58:44.635,1aF9TeHZbe6OVo9dtjPuzK,Junya,2.46,82,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,340MjPcVdiQRnMigrPybZA,Donda,2021-08-29,chicago rap,0.752,0.69,7,-3.948,1,0.0642,0.27,0.0,0.303,0.396,148.07,98,14974046
2,2021-09-06 04:56:16.487,73uxnSsFMeJ15POpd3zgrV,Believe What I Say,4.04,84,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,340MjPcVdiQRnMigrPybZA,Donda,2021-08-29,chicago rap,0.595,0.656,7,-7.868,1,0.247,0.148,0.0,0.47,0.416,99.811,98,14974046
3,2021-09-06 04:52:13.603,7DBFslKWQzoRgO0HBBkL3u,24,3.3,82,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,340MjPcVdiQRnMigrPybZA,Donda,2021-08-29,chicago rap,0.386,0.534,5,-6.086,0,0.0389,0.129,0.0,0.351,0.343,110.057,98,14974046
4,2021-09-06 04:48:55.212,7up5MwPUHQdv4DkzQRHRWP,Pure Souls,5.98,82,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,340MjPcVdiQRnMigrPybZA,Donda,2021-08-29,chicago rap,0.381,0.528,5,-6.997,1,0.0449,0.102,0.0,0.269,0.256,97.207,98,14974046
5,2021-09-06 04:42:56.113,37Nqx7iavZpotJSDXZWbJ3,Girls Want Girls (with Lil Baby),3.7,85,Drake,3TVXtAsR1Inumwj472S9r4,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,canadian hip hop,0.767,0.438,7,-8.726,0,0.29,0.181,0.0,0.142,0.381,86.975,100,56893422
6,2021-09-06 04:39:14.161,6jy9yJfgCsMHdu2Oz4BGKX,Papi’s Home,2.98,83,Drake,3TVXtAsR1Inumwj472S9r4,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,canadian hip hop,0.701,0.741,2,-6.157,1,0.313,0.112,0.0,0.699,0.588,140.177,100,56893422
7,2021-09-06 04:36:15.056,0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),4.29,84,Drake,3TVXtAsR1Inumwj472S9r4,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,canadian hip hop,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,100,56893422
8,2021-09-06 04:31:57.488,40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),4.85,85,Drake,3TVXtAsR1Inumwj472S9r4,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,canadian hip hop,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,100,56893422
9,2021-09-06 04:25:20.951,2Q3jFbyE61mCjS3SkW4toJ,Race My Mind,4.5,79,Drake,3TVXtAsR1Inumwj472S9r4,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,canadian hip hop,0.488,0.635,10,-7.19,1,0.26,0.179,8.16e-06,0.156,0.783,174.072,100,56893422
10,2021-09-06 04:16:59.640,7DBFslKWQzoRgO0HBBkL3u,24,3.3,82,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,340MjPcVdiQRnMigrPybZA,Donda,2021-08-29,chicago rap,0.386,0.534,5,-6.086,0,0.0389,0.129,0.0,0.351,0.343,110.057,98,14974046
11,2021-09-06 04:13:41.249,7up5MwPUHQdv4DkzQRHRWP,Pure Souls,5.98,82,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,340MjPcVdiQRnMigrPybZA,Donda,2021-08-29,chicago rap,0.381,0.528,5,-6.997,1,0.0449,0.102,0.0,0.269,0.256,97.207,98,14974046
12,2021-09-06 04:07:42.075,6jy9yJfgCsMHdu2Oz4BGKX,Papi’s Home,2.98,83,Drake,3TVXtAsR1Inumwj472S9r4,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,canadian hip hop,0.701,0.741,2,-6.157,1,0.313,0.112,0.0,0.699,0.588,140.177,100,56893422
13,2021-09-06 04:03:57.621,42m3eP1JJhtzffal9B136J,7am On Bridle Path,3.99,80,Drake,3TVXtAsR1Inumwj472S9r4,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,canadian hip hop,0.724,0.531,5,-4.108,0,0.298,0.225,0.0,0.11,0.141,89.901,100,56893422
14,2021-09-06 03:52:23.144,42m3eP1JJhtzffal9B136J,7am On Bridle Path,3.99,80,Drake,3TVXtAsR1Inumwj472S9r4,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,canadian hip hop,0.724,0.531,5,-4.108,0,0.298,0.225,0.0,0.11,0.141,89.901,100,56893422
15,2021-09-06 03:44:58.256,6rE6MSEgY9GR0wm9CXPEk9,SEEING DOUBLE,5.38,4,Nick Hakim,1Goe2NezNnym45kco2xTk6,5m20GZ3rQ8UOJ8PoEDwXsr,WILL THIS MAKE ME GOOD,2020-05-15,alternative r&b,0.67,0.566,0,-8.976,1,0.0543,0.75,0.123,0.129,0.238,118.836,51,132113
16,2021-09-06 03:39:35.043,01NKQM0t8lyzOo4YZOZLYw,Ayonha,3.69,48,Hamid Al Shaeri,7u1V0Ucu5ggW1VaXwh8KeT,2ndCkboIEM4g6Z2n2IjLd1,Tape 19.11 / Ayonha,2017-10-25,arab groove,0.718,0.73,9,-7.405,1,0.0292,0.54,0.0137,0.147,0.729,122.904,42,27166
17,2021-09-06 03:35:53.055,3tEquyJGXSst4J7yEu493s,Free Myself,2.57,38,anders,6G1yTgvoYsuVb2Ja8cVVJ2,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,canadian contemporary r&b,0.578,0.425,5,-8.825,0,0.0487,0.064,0.0,0.17,0.176,156.008,58,116533
18,2021-09-06 03:30:40.885,4b15WZPLEBsoAupocXzbZE,Faithful,2.9,37,anders,6G1yTgvoYsuVb2Ja8cVVJ2,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,canadian contemporary r&b,0.655,0.622,8,-8.077,0,0.0863,0.107,1.47e-06,0.111,0.113,150.028,58,116533
19,2021-09-06 03:27:46.621,70iXIh1Awkb6KCJzrIoB7V,Honest,2.87,36,anders,6G1yTgvoYsuVb2Ja8cVVJ2,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,canadian contemporary r&b,0.542,0.413,7,-9.776,0,0.0554,0.0394,0.0,0.0939,0.344,170.052,58,116533
20,2021-09-06 03:24:53.731,4UatltqbOPocIJ28J1CKW5,Save Your Emotions,2.84,34,anders,6G1yTgvoYsuVb2Ja8cVVJ2,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,canadian contemporary r&b,0.762,0.343,6,-9.179,0,0.0342,0.51,1.02e-05,0.12,0.719,111.64,58,116533
21,2021-09-06 03:20:57.310,3tEquyJGXSst4J7yEu493s,Free Myself,2.57,38,anders,6G1yTgvoYsuVb2Ja8cVVJ2,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,canadian contemporary r&b,0.578,0.425,5,-8.825,0,0.0487,0.064,0.0,0.17,0.176,156.008,58,116533
22,2021-09-06 03:18:22.506,25RRZzrfLi2fbP0oYxmH3X,Floor 21,3.01,39,anders,6G1yTgvoYsuVb2Ja8cVVJ2,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,canadian contemporary r&b,0.477,0.565,7,-6.182,0,0.0464,0.0224,4.32e-06,0.196,0.465,84.991,58,116533
23,2021-09-06 03:15:21.300,4b15WZPLEBsoAupocXzbZE,Faithful,2.9,37,anders,6G1yTgvoYsuVb2Ja8cVVJ2,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,canadian contemporary r&b,0.655,0.622,8,-8.077,0,0.0863,0.107,1.47e-06,0.111,0.113,150.028,58,116533
24,2021-09-06 03:06:24.655,5DyBTivjORrpNhJkJj2Ao5,All Night Long,3.58,60,thuy,3R80OE4RViOWbnuvqh0j8a,2RBCjQ1pAiQSSW9YdFAkqs,All Night Long,2017-02-12,chill r&b,0.354,0.542,4,-9.61,0,0.12,0.0815,0.000424,0.09,0.0483,100.032,54,29635
25,2021-09-06 03:04:24.347,7ptFEMrSvGhGhAnHN9GUqq,chances,2.79,52,thuy,3R80OE4RViOWbnuvqh0j8a,22WsOeqOyloXr1vnHjLe9s,chances,2021-03-08,chill r&b,0.748,0.472,3,-9.15,0,0.0557,0.0822,0.0,0.0525,0.605,141.93,54,29635
26,2021-09-06 02:58:20.920,11M1Ktu4Kj1HaEkX3GygI2,Medallion,2.47,50,Jenevieve,0dUYLC7DLjeS8gIh8cz2Pq,6LjIHw7plsVfhw1OTjlpZs,Medallion,2021-04-21,alternative r&b,0.772,0.471,10,-6.774,0,0.0462,0.152,5.62e-06,0.351,0.821,78.961,57,56954
27,2021-09-06 02:56:03.532,0516INusdrq1d0W0x4QvpL,111,2.91,43,thuy,3R80OE4RViOWbnuvqh0j8a,5nwWOihi8pWJI4ltUxCFrU,111,2021-01-11,chill r&b,0.56,0.521,2,-7.197,1,0.0677,0.613,7.18e-06,0.0734,0.569,87.883,54,29635
28,2021-09-06 02:52:54.988,6ubNZ5edKBKH3MQKatUY3S,4Ever (feat. Fabolous),3.72,54,Lil' Mo,5wBDD4FNJvob5fAGkAIQ92,33virfI7yTPHbUXJnsVHHm,4 Ever (feat. Fabolous),2003-02-11,hip pop,0.683,0.657,6,-10.668,1,0.099,0.0279,4.49e-05,0.367,0.764,99.059,55,183838
