track_played_at,track_id,track_name,track_duration_min,track_popularity,album_id,album_name,album_release_year,primary_artist,secondary_artists,primary_artist_id,secondary_artists_id,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,popularity,followers,primary_genre,other_genre,secondary_artists_0,secondary_artists_1,secondary_artists_2,secondary_artists_id_0,secondary_artists_id_1,secondary_artists_id_2,other_genre_0,other_genre_1,other_genre_2,other_genre_3,other_genre_4,other_genre_5
2021-09-01 02:35:00.401,7nQRexQUCCwAWn2gv1unXd,Non-Intentional (feat. Lou Val),4.41,16,0fRRZjvZhMq5CFdAuuPIcR,Non-Intentional (feat. Lou Val),2017-11-26,K. Forest,Lou Val,1uaS3ZokV40ZrpzSRhx4Ol,3SEwrfPcpXKzLkGUzCHmSq,0.7,0.499,0,-11.376,1,0.146,0.778,0.00025,0.104,0.462,97.958,41,72823,canadian contemporary r&b,"canadian hip hop, indie r&b, pop r&b, trap soul",Lou Val,,,3SEwrfPcpXKzLkGUzCHmSq,,,canadian hip hop, indie r&b, pop r&b, trap soul,,
2021-09-01 02:30:35.377,1Ew6LX4ib9JhHvF0hJNO2l,NEVER AGAIN,3.88,46,2T8UlI17u5hwTqu6zkpkW7,PARTYMOBILE,2020-03-27,PARTYNEXTDOOR,,2HPaUgqeutzr3jx5a9WyDV,,0.641,0.41,5,-8.343,0,0.0449,0.0995,0.00386,0.123,0.0388,81.967,81,3165083,pop,"pop rap, r&b, rap, toronto rap, trap, urban contemporary",,,,,,,pop rap, r&b, rap, toronto rap, trap, urban contemporary
2021-09-01 02:26:42.330,4FFEJW2nlXqGXukstRQnFJ,Drive,3.76,9,5JlMhHB0sgTGDhb3j6rUN1,Misfit,2018-12-07,Naji,"elias, if only",31QM5dBtewZL65p9hCnXKK,0YB7my6jb2MnFRTXuoCu3B,0.783,0.446,4,-12.823,0,0.312,0.115,0.000209,0.111,0.552,143.67,44,15748,alternative r&b,,elias, if only,,0YB7my6jb2MnFRTXuoCu3B,,,,,,,,
2021-09-01 02:22:47.701,3VJR6La8OPwdCjf2BtwSW5,QADIR,7.53,15,5m20GZ3rQ8UOJ8PoEDwXsr,WILL THIS MAKE ME GOOD,2020-05-15,Nick Hakim,,1Goe2NezNnym45kco2xTk6,,0.577,0.712,8,-4.375,0,0.0662,0.245,0.0143,0.0715,0.349,142.056,52,131886,alternative r&b,"indie jazz, indie r&b, indie soul, vapor soul",,,,,,,indie jazz, indie r&b, indie soul, vapor soul,,
2021-09-01 02:15:15.198,0MeGZca9ydrOLmRclzSDvP,ALL THESE INSTRUMENTS,4.15,9,5m20GZ3rQ8UOJ8PoEDwXsr,WILL THIS MAKE ME GOOD,2020-05-15,Nick Hakim,,1Goe2NezNnym45kco2xTk6,,0.641,0.525,11,-10.213,0,0.0396,0.66,0.879,0.341,0.254,101.03,52,131886,alternative r&b,"indie jazz, indie r&b, indie soul, vapor soul",,,,,,,indie jazz, indie r&b, indie soul, vapor soul,,
2021-09-01 02:11:05.507,5XfZCsVxNgfLtXpsnAhMWF,CRUMPY,3.13,7,5m20GZ3rQ8UOJ8PoEDwXsr,WILL THIS MAKE ME GOOD,2020-05-15,Nick Hakim,,1Goe2NezNnym45kco2xTk6,,0.638,0.639,0,-6.155,1,0.0504,0.243,0.209,0.0817,0.292,79.084,52,131886,alternative r&b,"indie jazz, indie r&b, indie soul, vapor soul",,,,,,,indie jazz, indie r&b, indie soul, vapor soul,,
2021-09-01 02:07:57.089,3D0jSGPQtguvKh8K8wV4Ib,GODS DIRTY WORK,4.44,4,5m20GZ3rQ8UOJ8PoEDwXsr,WILL THIS MAKE ME GOOD,2020-05-15,Nick Hakim,,1Goe2NezNnym45kco2xTk6,,0.722,0.659,5,-6.693,0,0.035,0.0215,0.89,0.146,0.798,134.077,52,131886,alternative r&b,"indie jazz, indie r&b, indie soul, vapor soul",,,,,,,indie jazz, indie r&b, indie soul, vapor soul,,
2021-09-01 02:03:30.411,6rE6MSEgY9GR0wm9CXPEk9,SEEING DOUBLE,5.38,4,5m20GZ3rQ8UOJ8PoEDwXsr,WILL THIS MAKE ME GOOD,2020-05-15,Nick Hakim,,1Goe2NezNnym45kco2xTk6,,0.67,0.566,0,-8.976,1,0.0543,0.75,0.123,0.129,0.238,118.836,52,131886,alternative r&b,"indie jazz, indie r&b, indie soul, vapor soul",,,,,,,indie jazz, indie r&b, indie soul, vapor soul,,
2021-09-01 01:58:07.187,01NKQM0t8lyzOo4YZOZLYw,Ayonha,3.69,48,2ndCkboIEM4g6Z2n2IjLd1,Tape 19.11 / Ayonha,2017-10-25,Hamid Al Shaeri,,7u1V0Ucu5ggW1VaXwh8KeT,,0.718,0.73,9,-7.405,1,0.0292,0.54,0.0137,0.147,0.729,122.904,44,26925,arab groove,"arab pop, belly dance, libyan pop",,,,,,,arab pop, belly dance, libyan pop,,,
2021-09-01 01:54:25.193,3tEquyJGXSst4J7yEu493s,Free Myself,2.57,38,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,anders,,6G1yTgvoYsuVb2Ja8cVVJ2,,0.578,0.425,5,-8.825,0,0.0487,0.064,0.0,0.17,0.176,156.008,60,116328,canadian contemporary r&b,"canadian hip hop, pop r&b, r&b, toronto rap, trap soul",,,,,,,canadian hip hop, pop r&b, r&b, toronto rap, trap soul,
