songplays_id,track_id,track_name,track_duration,track_is_explicit,track_popularity,track_played_at,album_id,album_name,album_release_year,album_type,artist_name,artist_name_others,artist_id,artist_id_others,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,artist_popularity,artist_followers,artist_genre,artist_genre_others
1,4Mb5DVgLbFjlSwcuMdOw7B,Exhibit C,5.524,True,53,2021-08-30 22:58:33,6U3XutCfhGxFFCDK1AFCbb,Exhibit C,2009,album,Jay Electronica,,0TkqXdyWLsssJH7okthMPQ,,0.504,0.811,5,-11.966,0,0.191,0.0276,0.0,0.388,0.382,60,221357,alternative hip hop,"conscious hip hop, hardcore hip hop, hip hop, psychedelic hip hop, rap, southern hip hop, underground hip hop"
2,3qDvnJOQw4vsmyDFSl60qP,Wetter,4.270583333333334,False,48,2021-08-30 22:47:59,5UvpMWTbiiPOYcRLcxbKUN,Category F5,2009,album,Twista,Erika Shevon,6vbY3hOaCAhC7VjucswgdS,3b13JBMmmRRuNBlgdTGT1G,0.825,0.654,7,-10.929,1,0.127,0.181,0.0,0.39,0.634,71,738153,chicago rap,"dirty south rap, gangster rap, hip hop, pop rap, rap, trap, urban contemporary"
3,3A4cpTBPaIQdtPFb5JxtaX,Slow Jamz,5.26755,True,66,2021-08-30 22:43:42,4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,2004,album,Twista,"Kanye West, Jamie Foxx",6vbY3hOaCAhC7VjucswgdS,"5K4W6rqBFWDnAN6FQUkS6x, 7LnaAXbDVIL75IVPnndf7w",0.559,0.733,2,-5.659,0,0.171,0.314,0.0,0.284,0.611,71,738153,chicago rap,"dirty south rap, gangster rap, hip hop, pop rap, rap, trap, urban contemporary"
4,2tOZtdbkAMQASWokLvSlzj,Overnight Celebrity,3.8893333333333335,True,64,2021-08-30 22:38:25,7tbgPQub8dUigxMdkYDfOb,Kamikaze,2004,album,Twista,,6vbY3hOaCAhC7VjucswgdS,,0.828,0.792,10,-5.435,0,0.179,0.182,0.0,0.281,0.777,71,738153,chicago rap,"dirty south rap, gangster rap, hip hop, pop rap, rap, trap, urban contemporary"
5,1O2cVtw4bEUpCMJo3NSEAj,Kill Us All,3.1717666666666666,True,40,2021-08-30 22:30:55,6Xu470gdLgDOnFDj5qND1N,Kamikaze,2004,album,Twista,,6vbY3hOaCAhC7VjucswgdS,,0.656,0.87,2,-3.34,1,0.0368,0.0278,0.0,0.14,0.0919,71,738153,chicago rap,"dirty south rap, gangster rap, hip hop, pop rap, rap, trap, urban contemporary"
6,6YIHCgaDKTmyRH1yUXUKSE,Hood Scars 2 (with Lil Tjay),3.6357333333333335,True,62,2021-08-30 22:27:45,4cAvZxir1iof3qVP7vwbgX,Hood Scars 2 (with Lil Tjay),2020,album,J.I the Prince of N.Y,Lil Tjay,2eqoJbzUGDwys5ENUkbT3h,6jGMq4yGs7aQzuGsMgVgZR,0.73,0.581,1,-8.032,0,0.44,0.314,0.0,0.141,0.156,70,572807,nyc rap,pop r&b
7,3P1s6MEwVSt2uK86nHZ5an,Section,4.150216666666667,True,38,2021-08-30 22:09:37,4hkERQVrmM9JQ9g2eie2tL,Illadelph Halflife,1996,album,The Roots,,78xUyw6FkVZrRAtziFdtdu,,0.767,0.463,9,-5.913,0,0.345,0.135,6.88e-05,0.0875,0.563,66,1081519,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop"
8,4PIfVDOFSRh3jmcl2UhREg,Push Up Ya Lighter,4.602216666666667,True,34,2021-08-30 22:00:15,4hkERQVrmM9JQ9g2eie2tL,Illadelph Halflife,1996,album,The Roots,,78xUyw6FkVZrRAtziFdtdu,,0.861,0.41,1,-7.741,0,0.341,0.0106,0.000156,0.091,0.509,66,1081519,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop"
9,1B53Y95tPd4ah4FExO0egE,What They Do,5.953333333333333,True,60,2021-08-30 21:55:39,4hkERQVrmM9JQ9g2eie2tL,Illadelph Halflife,1996,album,The Roots,,78xUyw6FkVZrRAtziFdtdu,,0.885,0.414,0,-10.539,1,0.168,0.341,0.000289,0.0891,0.683,66,1081519,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop"
10,6KyFxGHY8Q5Pkgb05KZoQL,Step Into The Relm,2.822216666666667,True,35,2021-08-30 21:48:23,0qbl8aNaCUOvX8HGsZYLfh,Things Fall Apart,1999,album,The Roots,,78xUyw6FkVZrRAtziFdtdu,,0.832,0.635,1,-7.028,1,0.373,0.0613,1.11e-05,0.0906,0.61,66,1081519,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop"
11,71hXKEDaKHgYrn7kdLFpOx,Dynamite!,4.7617666666666665,True,43,2021-08-30 21:45:33,0qbl8aNaCUOvX8HGsZYLfh,Things Fall Apart,1999,album,The Roots,,78xUyw6FkVZrRAtziFdtdu,,0.888,0.457,8,-7.956,0,0.297,0.0291,0.0,0.159,0.644,66,1081519,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop"
12,71hXKEDaKHgYrn7kdLFpOx,Dynamite!,4.7617666666666665,True,43,2021-08-30 17:29:11,0qbl8aNaCUOvX8HGsZYLfh,Things Fall Apart,1999,album,The Roots,,78xUyw6FkVZrRAtziFdtdu,,0.888,0.457,8,-7.956,0,0.297,0.0291,0.0,0.159,0.644,66,1081519,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop"
13,1m2W1pl5KcpAvUZtpG4JXc,Ain't Sayin' Nothin' New,4.568883333333333,True,36,2021-08-30 17:25:37,0qbl8aNaCUOvX8HGsZYLfh,Things Fall Apart,1999,album,The Roots,Dice Raw,78xUyw6FkVZrRAtziFdtdu,7df4aW2MDoNsEhmJ2NRoro,0.762,0.656,11,-6.602,0,0.327,0.000336,0.0,0.207,0.574,66,1081519,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop"
14,7frJEBqz0olVg8sQpXD5BF,Double Trouble,5.84,True,36,2021-08-30 17:21:02,0qbl8aNaCUOvX8HGsZYLfh,Things Fall Apart,1999,album,The Roots,Mos Def,78xUyw6FkVZrRAtziFdtdu,0Mz5XE0kb1GBnbLQm2VbcO,0.715,0.797,7,-7.6,1,0.416,0.113,0.0,0.142,0.623,66,1081519,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop"
15,63J9sQnp8NxLuOgeqgAS6O,100% Dundee,3.89155,True,44,2021-08-30 17:15:12,0qbl8aNaCUOvX8HGsZYLfh,Things Fall Apart,1999,album,The Roots,,78xUyw6FkVZrRAtziFdtdu,,0.629,0.904,6,-6.189,0,0.344,0.124,0.0,0.261,0.721,66,1081519,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop"
16,4pdLZsxq0y5oJDb6Cxlokw,You Got Me,4.321766666666667,True,65,2021-08-30 17:11:18,0qbl8aNaCUOvX8HGsZYLfh,Things Fall Apart,1999,album,The Roots,"Tariq Trotter, Erykah Badu, Eve",78xUyw6FkVZrRAtziFdtdu,"7i3os1iEWOn5UpaylRiMw5, 7IfculRW2WXyzNQ8djX8WX, 4d3yvTptO48nOYTPBcPFZC",0.729,0.442,11,-8.106,0,0.285,0.151,0.0,0.189,0.757,66,1081519,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop"
17,4X0iT8P3jzZObc2YPeFYFZ,Don't See Us,4.502666666666666,True,30,2021-08-30 17:06:58,0qbl8aNaCUOvX8HGsZYLfh,Things Fall Apart,1999,album,The Roots,,78xUyw6FkVZrRAtziFdtdu,,0.86,0.761,10,-5.719,0,0.332,0.12,0.0,0.18,0.774,66,1081519,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop"
18,3neSPbnncvEpjvbhM4faaf,Web,3.2786666666666666,True,36,2021-08-30 16:49:09,2fw2PxmN6epMmz6qZXXNLn,The Tipping Point,2004,album,The Roots,,78xUyw6FkVZrRAtziFdtdu,,0.91,0.835,7,-5.784,1,0.331,0.0454,0.0,0.0263,0.685,66,1081519,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop"
19,3neSPbnncvEpjvbhM4faaf,Web,3.2786666666666666,True,36,2021-08-30 09:38:22,2fw2PxmN6epMmz6qZXXNLn,The Tipping Point,2004,album,The Roots,,78xUyw6FkVZrRAtziFdtdu,,0.91,0.835,7,-5.784,1,0.331,0.0454,0.0,0.0263,0.685,66,1081519,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop"
20,26JlTPmiv7wdB86MjLno7f,Can't Stop This,8.591333333333333,True,16,2021-08-30 09:35:43,6L0j61jDPGMliS3NrxVgiE,Game Theory,2006,album,The Roots,,78xUyw6FkVZrRAtziFdtdu,,0.581,0.751,10,-7.164,0,0.355,0.19,3.88e-05,0.101,0.487,66,1081519,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop"
21,26JlTPmiv7wdB86MjLno7f,Can't Stop This,8.591333333333333,True,16,2021-08-30 07:29:27,6L0j61jDPGMliS3NrxVgiE,Game Theory,2006,album,The Roots,,78xUyw6FkVZrRAtziFdtdu,,0.581,0.751,10,-7.164,0,0.355,0.19,3.88e-05,0.101,0.487,66,1081519,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop"
22,59rtiYOPgMEDf3yPEfU2la,Still Tippin' (feat. Slim Thug and Paul Wall),4.51755,True,63,2021-08-30 07:28:44,1YU3MPIMY9rZOE899khVj2,Who Is Mike Jones?,2005,album,Mike Jones,"Paul Wall, Slim Thug",5EGznFfd2pbt6LphK9eLWj,"0k7Xl1pqI3tu8sSEjo5oEg, 0st5vgzw9XkH5ALJiUM1lE",0.86,0.861,6,-7.131,0,0.307,0.0361,4.07e-05,0.113,0.79,60,9281,dirty south rap,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
23,0a2Yk4ORO4MsGaJ4DI03qx,Whipski (feat. Lil Skies & Internet Money),3.0663666666666667,True,71,2021-08-30 07:24:12,69zRKx6ZZQx652iPq1PRyp,Whipski (feat. Lil Skies & Internet Money),2021,album,$NOT,"Lil Skies, Internet Money",5IbEL2xjRtKsunfmsahLuO,"7d3WFRME3vBY2cgoP38RDo, 6MPCFvOQv5cIGfw3jODMF0",0.841,0.545,9,-8.013,1,0.222,0.268,0.0,0.25,0.305,81,774459,aesthetic rap,"florida rap, underground hip hop"
24,7IXgNPlPmEETtH7r6RXqV0,White Walls,2.3828833333333335,True,45,2021-08-30 07:21:08,5m1R17FavKPjP7H5YPtrt1,HARAM!,2021,album,GoldLink,,5XenQ7XfcvQdfIbpLEFaKQ,,0.697,0.705,5,-6.765,0,0.0909,0.00844,0.211,0.165,0.449,72,745439,alternative r&b,"dmv rap, hip hop, indie soul, r&b, rap, underground hip hop"
25,6XBkVK0XMeSkXyG6lN2QDk,Raindrops (feat. Flo Milli),2.5662166666666666,True,52,2021-08-30 07:18:44,5m1R17FavKPjP7H5YPtrt1,HARAM!,2021,album,GoldLink,Flo Milli,5XenQ7XfcvQdfIbpLEFaKQ,08PvCOlef4xdOr20jFSTPd,0.882,0.572,9,-7.367,0,0.172,0.517,1.67e-05,0.157,0.592,72,745439,alternative r&b,"dmv rap, hip hop, indie soul, r&b, rap, underground hip hop"
26,1dCntlwr3SNMWtTEQzYAsx,Twin (feat. Rich The Kid),3.4722166666666667,True,41,2021-08-30 07:16:10,5m1R17FavKPjP7H5YPtrt1,HARAM!,2021,album,GoldLink,Rich The Kid,5XenQ7XfcvQdfIbpLEFaKQ,1pPmIToKXyGdsCF6LmqLmI,0.566,0.807,1,-4.142,0,0.298,0.371,0.0,0.163,0.651,72,745439,alternative r&b,"dmv rap, hip hop, indie soul, r&b, rap, underground hip hop"
27,7e5x5m00tWyktTWIc0nbcy,Headshots (4r Da Locals),3.2201333333333335,False,43,2021-08-30 07:12:41,5IdIuQjrZ1oQHOUNyukDpL,Headshots (4r Da Locals),2021,album,Isaiah Rashad,,6aaMZ3fcfLv4tEbmY7bjRM,,0.899,0.603,3,-6.315,1,0.0857,0.0279,0.00262,0.336,0.657,79,962598,hip hop,"rap, tennessee hip hop, underground hip hop"
28,2goHCrsDJaflEwQ930ef0o,MASSA,3.7286333333333332,True,72,2021-08-30 07:09:27,45ba6QAtNrdv6Ke4MFOKk9,CALL ME IF YOU GET LOST,2021,album,"Tyler, The Creator",,4V8LLVI7PbaPR0K2TGSxFF,,0.685,0.855,1,-6.724,0,0.438,0.329,8.9e-05,0.301,0.46,89,6862578,hip hop,rap
29,5OFEJMirg4NPz7G1zgXDYu,ARE YOU WITH THAT?,2.3068333333333335,True,69,2021-08-30 07:05:43,2suR5CCbtL2Wq8ShFo8rFr,Vince Staples,2021,album,Vince Staples,,68kEuyFKyqrdQQLLsmiatm,,0.859,0.423,1,-10.698,0,0.283,0.543,0.0,0.104,0.563,76,1404105,conscious hip hop,"hip hop, rap, underground hip hop"
30,0zfsHae5pzUPpEuXjtEqbC,SUNDOWN TOWN,2.5146166666666665,True,66,2021-08-30 07:03:24,2suR5CCbtL2Wq8ShFo8rFr,Vince Staples,2021,album,Vince Staples,,68kEuyFKyqrdQQLLsmiatm,,0.852,0.389,1,-13.112,1,0.0997,0.596,0.000401,0.112,0.584,76,1404105,conscious hip hop,"hip hop, rap, underground hip hop"
31,4JvTUper6kKrGUuOPsdhI2,THE SHINING,2.6666666666666665,True,64,2021-08-30 07:00:53,2suR5CCbtL2Wq8ShFo8rFr,Vince Staples,2021,album,Vince Staples,,68kEuyFKyqrdQQLLsmiatm,,0.845,0.392,10,-11.643,0,0.0638,0.0357,0.0021,0.134,0.266,76,1404105,conscious hip hop,"hip hop, rap, underground hip hop"
