artist_id,artist_name,artist_popularity,artist_followers,primary_genre,other_genre_0,other_genre_1,other_genre_2,other_genre_3,other_genre_4,other_genre_5,other_genre_6,other_genre_7
6G1yTgvoYsuVb2Ja8cVVJ2,anders,60,116328,canadian contemporary r&b,canadian hip hop, pop r&b, r&b, toronto rap, trap soul,,,
6TrQLQR8tUluPbmdPy6jqY,ELHAE,56,168608,alternative r&b,chill r&b, indie r&b, pop r&b, r&b, trap soul,,,
1A9o3Ljt67pFZ89YtPPL5X,Snoh Aalegra,74,640622,alternative r&b,chill r&b, indie r&b, indie soul, pop, r&b, scandinavian r&b, swedish soul,
07UJz804RJxqNvxFXC3h9H,Sam Gellaitry,51,80830,electronic trap,future bass, scottish electronic, vapor soul, vapor twitch,,,,
3CE8Ux0j4kdaWpqCssKnVA,TEK.LUN,34,18276,future bass,vapor twitch,,,,,,,
6iWuBN32BqCJAeXW6o3nil,Cautious Clay,66,185653,alternative r&b,indie r&b, nyc pop, pop,,,,,
0fTav4sBLmYOAzKuJw0grL,Mac Ayres,66,416505,alternative r&b,chill r&b, indie r&b, indie soul, pop, r&b,,,
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,81,5052238,kentucky hip hop,pop, pop rap, r&b, rap, trap,,,
36UnfzYd835ufc9ajoT9Kk,DrewsThatDude,28,6806,future bass,vapor twitch,,,,,,,
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,82,4952897,dance pop,pop, pop rap, post-teen pop, r&b,,,,
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,82,1757078,dmv rap,pop, r&b, rap,,,,,
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,81,3165083,pop,pop rap, r&b, rap, toronto rap, trap, urban contemporary,,
4KZmpaIhanIo46eaQimtgO,ESTA.,42,36302,vapor twitch,,,,,,,,
7e3FtKBIPLrIVm8g1FJMVg,Sango,56,166349,abstract beats,alternative r&b, escape room, indie r&b, indie soul, vapor twitch,,,
3fcW2V4zOfFm0IsWCJUuzz,Zilo,44,22052,alternative r&b,bass trap, chill r&b, indie r&b,,,,,
37nE9g0LRDhDSIejDuPKPS,Evil Needle,47,33580,chillhop,vapor twitch,,,,,,,
5PcwbyuOX1pnaeVYatEEB2,Dilip,49,7159,phonk,,,,,,,,
4S3cwLP8haGAdlqyza3GZ3,Otxhello,38,4837,lo-fi beats,,,,,,,,
23zg3TcAtWQy7J6upgbUnj,Usher,84,8968576,atl hip hop,dance pop, pop, r&b, south carolina hip hop, urban contemporary,,,
3GQboECxDT1xqPPWC30p7v,Charlotte Day Wilson,65,164981,alternative r&b,canadian contemporary r&b, indie r&b, indie soul, neo soul,,,,
5qKCgbxBDmDc9Ckgmt4EaN,Sinjin Hawke,35,19273,bass music,hyperpop, vapor house,,,,,,
4HzKw8XcD0piJmDrrPRCYk,Majid Jordan,70,620626,alternative r&b,canadian contemporary r&b, pop, r&b, trap soul,,,,
2I9SLklAOG0vdMiUUMNxRl,88GLAM,61,379189,canadian hip hop,canadian trap, melodic rap, rap, toronto rap, trap, trap soul, underground hip hop, vapor trap
6qgnBH6iDM91ipVXv28OMu,KAYTRANADA,72,877350,escape room,indie soul, lgbtq+ hip hop,,,,,,
78xUyw6FkVZrRAtziFdtdu,The Roots,66,1082310,alternative hip hop,conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop
5FdZDr2bMbEcnsEKRgO3rn,Phabo,50,6193,alternative r&b,indie r&b, trap soul,,,,,,
12trz2INGglrKMzLmg0y2C,Emotional Oranges,64,186821,alternative r&b,chill r&b, indie r&b, pop,,,,,
