track_id,artists,trackname,album
7q115ia4fQn9zonjpexWsY,Linkin Park,In the End,Hybrid Theory
4HvcbAR8LisalXKt7cpqE1,Linkin Park,Papercut,Hybrid Theory
4bYLTrlcqctyHck3fjhMgW,Linkin Park,One Step Closer,Hybrid Theory
1Q9QN6dHEDeUegsySY012f,Linkin Park,With You,Hybrid Theory
214LJVTqrkUOGemWDGHJpr,Linkin Park,Points of Authority,Hybrid Theory
0X576XiCW9uEtko6f6VkcU,Linkin Park,Crawling,Hybrid Theory
1B8WdDScvobpFsZLfdmIE1,Linkin Park,A Place for My Head,Hybrid Theory
27gUeiai56GKF6TxvmPJut,Linkin Park,Don't Stay,Meteora (Bonus Edition)
1d5UuboIPRMD4HaU3yycKC,Linkin Park,Somewhere I Belong,Meteora (Bonus Edition)
3BmjRmFTESgWZLPSVGp8aG,Linkin Park,Lying from You,Meteora (Bonus Edition)
2uxL6E8Yq0Psc1V9uBtC4F,Linkin Park,Faint,Meteora (Bonus Edition)
4HcDu9IGRCvSTJE4yW5Ugv,Linkin Park,Breaking the Habit,Meteora (Bonus Edition)
0kO3njY9N1Rxgv27Ha1lLh,Linkin Park,Numb,Meteora (Bonus Edition)
58AS4weYlUWvGztZbKIuAU,Linkin Park,Leave Out All The Rest,Minutes to Midnight
78gsvivelCP8Kh0tSRTy8D,Linkin Park,Bleed It Out,Minutes to Midnight
4wfyFIRnxdIN0v4OGtXcX3,Linkin Park,What I've Done,Minutes to Midnight
5AMWj2Dc7oNb4qCHb5cOad,Linkin Park,Valentine's Day,Minutes to Midnight
0faXHILILebCGnJBPU6KJJ,Breaking Benjamin,The Diary of Jane - Single Version,Phobia (Clean Version)
1AEYT6VxrxXPMoQUxsY0E4,Trapt,Headstrong,Trapt
7m2YVkhv7Z75SBHnf2GEoM,Bobbi Humphrey,New York Times,The Best Of Bobbi Humphrey
5Z3aDchz1sW073glKhRsWC,Bobbi Humphrey,Uno Esta,The Best Of Bobbi Humphrey
1by4itCnmJtqK7EU3RSCU3,Bobbi Humphrey,Harlem River Drive,The Best Of Bobbi Humphrey
1Px2WDymmyS0GFKaAb1R25,Bobbi Humphrey,Blacks And Blues,The Best Of Bobbi Humphrey
0G1OPNH21K1bfccZrBtTH6,Bobbi Humphrey,The Trip,The Best Of Bobbi Humphrey
7CrNF9zL7tIQ2269DVxzST,The Dave Brubeck Quartet,Blue Rondo à la Turk,Time Out
6HvyFdP5JrCQdmxq2qi7MC,The Dave Brubeck Quartet,Strange Meadow Lark,Time Out
1YQWosTIljIvxAgHWTp7KP,The Dave Brubeck Quartet,Take Five,Time Out
3k5O0RKO6zEqu9JJ7JqxDX,The Dave Brubeck Quartet,Three to Get Ready,Time Out
3XfaSRXfGuWT1rrn9lWx30,The Dave Brubeck Quartet,Kathy's Waltz,Time Out
