track_played_at,track_id,track_name,track_duration_min,track_popularity,album_id,album_name,album_release_year,primary_artist,secondary_artists,primary_artist_id,secondary_artists_id,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,popularity,followers,primary_genre,other_genre,secondary_artists_0,secondary_artists_id_0,other_genre_0,other_genre_1,other_genre_2,other_genre_3,other_genre_4,other_genre_5,other_genre_6,other_genre_7,other_genre_8
2021-10-07 14:33:35.933,2tlsUogi4aK4pg7KNwYBdr,Summertime Shootout (feat. T-Pain),3.65,49,4oApeydTLEzTkPC3Xp7wPL,Summertime Shootout (feat. T-Pain),2021-08-12,AJ Tracey,T-Pain,4Xi6LSfFqv26XgP9NKN26U,3aQeKQSyrW4qWr35idm0cy,0.527,0.581,9,-6.354,0,0.327,0.111,0.0,0.301,0.503,98.977,74,927230,grime,"uk hip hop, ukg revival",T-Pain,3aQeKQSyrW4qWr35idm0cy,uk hip hop, ukg revival,,,,,,,
2021-10-07 14:27:39.772,3Dlb8MJWQJT7rW270l6Mu7,R U Scared Pt. 2,3.74,16,733z83e8O7NxUNJvLXmmZp,STAY,2019-05-10,SAFE,,3bnpcWBcvlfq4hPFJjNPbz,,0.383,0.469,11,-10.929,0,0.0384,0.566,0.139,0.101,0.201,128.148,51,132591,canadian hip hop,trap soul,,,trap soul,,,,,,,,
2021-10-07 14:24:26.288,5LoBsMFF6hmzlH5gwOvppw,Untitled (Funk #2),2.76,28,1PKyn5sp4jC75UKKJUfXiA,Portrait in Two,2017-01-13,McClenney,,44drVL4jbdo6T6llD5cMgx,,0.921,0.374,6,-9.451,1,0.0652,0.00846,0.837,0.371,0.769,113.003,46,44863,alternative r&b,"chill r&b, indie r&b, indie soul, neo r&b",,,chill r&b, indie r&b, indie soul, neo r&b,,,,,
2021-10-07 14:21:31.986,5WoaF1B5XIEnWfmb5NZikf,Sky Walker (feat. Travis Scott),4.32,74,05LEST8E8mkEIl2LRfUkcI,War & Leisure,2017-12-01,Miguel,Travis Scott,360IAlyVv4PCEVjgyMZrxK,0Y5tJX1MQlPlqiwlOH1tJY,0.674,0.506,6,-10.532,1,0.0434,0.173,0.0,0.0866,0.183,145.965,79,3645788,dance pop,"pop, r&b, urban contemporary",Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,pop, r&b, urban contemporary,,,,,,
2021-10-07 14:17:12.500,39hXM0fPqzUzGCPECajajT,THE GONLAN SONG,2.88,48,6dlPPmTet7BpIeZWg21izC,MINISERIES,2021-09-15,SUMIN,Slom,0K4MGKGmjtdIE0W3GkGmyU,0UswO8FFKS2tv6dzyNyJLD,0.855,0.661,4,-3.952,0,0.0794,0.142,1.16e-06,0.147,0.786,95.99,50,33554,k-indie,"korean city pop, korean electropop, korean r&b",Slom,0UswO8FFKS2tv6dzyNyJLD,korean city pop, korean electropop, korean r&b,,,,,,
2021-10-07 14:13:44.154,5XwcELf4gUoEiP0PIyVZfp,Still Alive,3.31,33,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.446,0.608,7,-6.554,0,0.0351,0.17,0.0,0.112,0.235,146.87,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-07 14:10:26.399,5g7jg1BDLUPbAVrrktJ7oD,Use Me,3.97,33,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.589,0.416,11,-9.217,0,0.0309,0.0467,0.000253,0.0878,0.0566,115.039,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-07 14:06:29.231,0UFi1wd18ZhYyqpXEbET4r,Control,3.52,34,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.551,0.546,9,-5.978,0,0.0366,0.279,1.09e-05,0.0806,0.239,141.961,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-07 14:02:57.797,2DqcYEeS95EtkdpHBCpw65,Empty,3.7,39,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.465,0.577,5,-7.681,0,0.0281,0.123,5.34e-06,0.104,0.15,159.918,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-07 02:45:20.921,5XwcELf4gUoEiP0PIyVZfp,Still Alive,3.31,33,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.446,0.608,7,-6.554,0,0.0351,0.17,0.0,0.112,0.235,146.87,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-07 02:44:44.429,5g7jg1BDLUPbAVrrktJ7oD,Use Me,3.97,33,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.589,0.416,11,-9.217,0,0.0309,0.0467,0.000253,0.0878,0.0566,115.039,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-07 02:40:46.164,0UFi1wd18ZhYyqpXEbET4r,Control,3.52,34,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.551,0.546,9,-5.978,0,0.0366,0.279,1.09e-05,0.0806,0.239,141.961,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-07 02:37:12.664,2DqcYEeS95EtkdpHBCpw65,Empty,3.7,39,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.465,0.577,5,-7.681,0,0.0281,0.123,5.34e-06,0.104,0.15,159.918,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-06 20:18:10.098,6ry7ITdSvbSa8tT9dZ4h8b,ONE MORE,2.71,15,1y5Jjodlso3W48xSORn1tz,Soulection White Label - ROM,2016-03-18,ROMderful,DEFFIE,3Aum3IcJEKuGsWVPBZnvyU,2oMgXOfrZIIuS6Wia9k7mj,0.647,0.707,4,-4.059,0,0.0957,0.077,0.613,0.119,0.123,118.223,48,19141,alternative r&b,indie r&b,DEFFIE,2oMgXOfrZIIuS6Wia9k7mj,indie r&b,,,,,,,,
2021-10-06 19:17:19.761,6qMExjyIOHf4M5rf8Ft2AA,Drumss,2.8,28,5vUuQXf7VGM78XJziKwd3V,Soulection White Label - J.Robb,2017-11-03,J.Robb,,2DfpfU9DpRLC3EuWLKyy4m,,0.737,0.116,1,-12.029,1,0.26,0.324,0.897,0.141,0.533,81.205,39,13358,,,,,,,,,,,,,
2021-10-06 19:14:31.121,1z7lXZju6ohvylLXQVSBwC,Dogtalk,2.8,26,7vqZxufW3mPpzokW10LiZK,Infinity 33,2018-11-16,D33J,A$AP NAST,6DIUUnQRMBTkigLlsAxblR,1uLYUm2A6kpFYAECfAFoH1,0.749,0.503,8,-7.438,1,0.0549,0.181,0.0,0.111,0.277,74.996,48,15763,abstract beats,,A$AP NAST,1uLYUm2A6kpFYAECfAFoH1,,,,,,,,,
2021-10-06 19:04:14.424,2DqcYEeS95EtkdpHBCpw65,Empty,3.7,39,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.465,0.577,5,-7.681,0,0.0281,0.123,5.34e-06,0.104,0.15,159.918,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-06 18:56:50.199,0UFi1wd18ZhYyqpXEbET4r,Control,3.52,34,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.551,0.546,9,-5.978,0,0.0366,0.279,1.09e-05,0.0806,0.239,141.961,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-06 18:50:56.639,6b1yDbxtaKsILcIntblGeo,Nobody Knows,4.24,33,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.518,0.461,0,-5.626,0,0.0285,0.00262,0.0,0.226,0.218,147.002,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-06 18:39:28.265,6laI8aSSA8aGKvJUUuOgRG,Get Even,3.34,33,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.526,0.646,5,-6.325,0,0.0411,0.0041,0.0,0.159,0.148,155.022,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-06 18:32:45.689,5XwcELf4gUoEiP0PIyVZfp,Still Alive,3.31,33,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.446,0.608,7,-6.554,0,0.0351,0.17,0.0,0.112,0.235,146.87,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
