artist_id,artist_name,artist_popularity,artist_followers,primary_genre,other_genre_0,other_genre_1,other_genre_2,other_genre_3,other_genre_4,other_genre_5,other_genre_6,other_genre_7,other_genre_8
6G1yTgvoYsuVb2Ja8cVVJ2,anders,56,116999,canadian contemporary r&b,canadian hip hop, pop r&b, r&b, toronto rap, trap soul,,,,
3TVXtAsR1Inumwj472S9r4,Drake,100,57226391,canadian hip hop,canadian pop, hip hop, pop rap, rap, toronto rap,,,,
6TrQLQR8tUluPbmdPy6jqY,ELHAE,52,171292,alternative r&b,chill r&b, indie r&b, pop r&b, r&b, trap soul,,,,
1A9o3Ljt67pFZ89YtPPL5X,Snoh Aalegra,70,650893,alternative r&b,chill r&b, indie r&b, indie soul, pop, r&b, scandinavian r&b, swedish soul,,
07UJz804RJxqNvxFXC3h9H,Sam Gellaitry,47,81270,electronic trap,future bass, scottish electronic, vapor soul, vapor twitch,,,,,
3CE8Ux0j4kdaWpqCssKnVA,TEK.LUN,31,18371,future bass,vapor twitch,,,,,,,,
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,97,15087280,chicago rap,rap,,,,,,,,
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,78,5088476,kentucky hip hop,pop, pop rap, r&b, rap, trap,,,,
36UnfzYd835ufc9ajoT9Kk,DrewsThatDude,25,6827,future bass,vapor twitch,,,,,,,,
6iWuBN32BqCJAeXW6o3nil,Cautious Clay,63,187670,alternative r&b,indie r&b, nyc pop, pop,,,,,,
0fTav4sBLmYOAzKuJw0grL,Mac Ayres,62,421286,alternative r&b,chill r&b, indie r&b, indie soul, pop, r&b,,,,
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,89,7352146,brooklyn drill,,,,,,,,,
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,79,5016574,dance pop,pop, pop rap, post-teen pop, r&b,,,,,
7e3FtKBIPLrIVm8g1FJMVg,Sango,53,166970,abstract beats,alternative r&b, escape room, indie r&b, indie soul, vapor twitch,,,,
4KZmpaIhanIo46eaQimtgO,ESTA.,40,36435,vapor twitch,,,,,,,,,
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,84,19924650,alternative metal,nu metal, post-grunge, rap metal,,,,,,
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,78,1787673,dmv rap,pop, r&b, rap,,,,,,
37nE9g0LRDhDSIejDuPKPS,Evil Needle,44,33745,chillhop,vapor twitch,,,,,,,,
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,78,3208541,pop,pop rap, r&b, rap, toronto rap, trap, urban contemporary,,,
5SXuuuRpukkTvsLuUknva1,Baby Keem,81,406839,hip hop,rap, trap,,,,,,,
6qgnBH6iDM91ipVXv28OMu,KAYTRANADA,69,882274,escape room,indie soul, lgbtq+ hip hop,,,,,,,
6aaMZ3fcfLv4tEbmY7bjRM,Isaiah Rashad,75,980170,hip hop,rap, tennessee hip hop, underground hip hop,,,,,,
3fcW2V4zOfFm0IsWCJUuzz,Zilo,41,22295,alternative r&b,bass trap, chill r&b, indie r&b,,,,,,
5PcwbyuOX1pnaeVYatEEB2,Dilip,46,7200,phonk,,,,,,,,,
5qfkUSH3ip5dD2eEPhjkT3,Kyle Dion,52,146125,alternative r&b,chill r&b, indie r&b, indie soul, r&b, trap soul,,,,
2ICR2m4hOBPhaYiZB3rnLW,Sonder,63,288390,alternative r&b,r&b,,,,,,,,
78xUyw6FkVZrRAtziFdtdu,The Roots,63,1088565,alternative hip hop,conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, indie r&b, philly rap, political hip hop, southern hip hop,
2DLlb2Se6eF0mMTYffyAcn,IAMNOBODI,42,38756,alternative r&b,indie r&b, vapor twitch,,,,,,,
